date,value
1900-01-01,1.2295286786111672
1901-01-01,1.1605662256650346
1902-01-01,1.114086966096804
1903-01-01,0.8763378900936247
1904-01-01,1.1599787307903184
1905-01-01,1.219810762294594
1906-01-01,1.0942282836907298
1907-01-01,0.7060460158175598
1908-01-01,1.0189164442648857
1909-01-01,1.102033967276672
1910-01-01,0.9669132665160293
1911-01-01,0.9643892214149444
1912-01-01,0.9830206691392126
1913-01-01,0.8770265014347515
1914-01-01,0.7544802112339686
1915-01-01,0.930027775179393
1916-01-01,0.7520440789231408
1917-01-01,0.4053209747628152
1918-01-01,0.4210165311198928
1919-01-01,0.44207777568178624
1920-01-01,0.37205602373338803
1921-01-01,0.4965867457457203
1922-01-01,0.5882196727920732
1923-01-01,0.5983976254875895
1924-01-01,0.700919672042207
1925-01-01,0.8699796343784642
1926-01-01,0.9080836377435609
1927-01-01,1.1474487914052034
1928-01-01,1.4941042315019089
1929-01-01,2.0128721235473113
1930-01-01,1.075244577243711
1931-01-01,0.6657019045334445
1932-01-01,0.6449893455161181
1933-01-01,0.9191311861242342
1934-01-01,0.8645122285362025
1935-01-01,1.1828899129355062
1936-01-01,1.4682780360599443
1937-01-01,0.8418703573137638
1938-01-01,0.9855859103748278
1939-01-01,0.9493812740699874
1940-01-01,0.7413029665813481
1941-01-01,0.5407344431997528
1942-01-01,0.5786856813604007
1943-01-01,0.6807525673429417
1944-01-01,0.7500799401872684
1945-01-01,0.8655286937941443
1946-01-01,0.7038037362753132
1947-01-01,0.5927662334068162
1948-01-01,0.5493217833411722
1949-01-01,0.5903738990118859
1950-01-01,0.6626092635120815
1951-01-01,0.7042555343752591
1952-01-01,0.6738716913412576
1953-01-01,0.6475408090908635
1954-01-01,0.6757365223735083
1955-01-01,0.8506788687723212
1956-01-01,0.9979667264830858
1957-01-01,0.8929451393758165
1958-01-01,0.8840282696496103
1959-01-01,1.0869306833620724
1960-01-01,1.0699654536909398
1961-01-01,1.2760488949336486
1962-01-01,1.278642439612226
1963-01-01,1.2963142440844209
1964-01-01,1.376577923125906
1965-01-01,1.4751763517770502
1966-01-01,1.489494732972046
1967-01-01,1.4206258864610333
1968-01-01,1.366654715332046
1969-01-01,1.5337633697906103
1970-01-01,1.178558728767621
1971-01-01,1.2321321751150955
1972-01-01,1.2545030614311403
1973-01-01,1.2615081307004516
1974-01-01,0.8942226471004547
1975-01-01,0.6691300232091567
1976-01-01,0.7829278789684792
1977-01-01,0.696330840641792
1978-01-01,0.5720183316798599
1979-01-01,0.5923522791388541
1980-01-01,0.5487192581773066
1981-01-01,0.6749288647923728
1982-01-01,0.4983692579058702
1983-01-01,0.675168013323518
1984-01-01,0.6517542324511524
1985-01-01,0.6788663121688099
1986-01-01,0.8399674398421435
1987-01-01,1.0212239950282935
1988-01-01,0.8673391577858672
1989-01-01,0.8738322642199144
1990-01-01,0.9919083843612804
1991-01-01,1.0987381389818542
1992-01-01,1.3351897453346486
1993-01-01,1.5581821175024009
1994-01-01,1.5194699840746608
1995-01-01,1.5588944346742335
1996-01-01,1.8519007725861876
1997-01-01,1.7556772037359156
1998-01-01,2.2153125874020625
1999-01-01,2.3127938101586563
2000-01-01,2.860107936383695
2001-01-01,1.7795063447742823
2002-01-01,1.7860570862322946
2003-01-01,1.2533970430262067
2004-01-01,1.5946913759216614
2005-01-01,1.52491218000994
2006-01-01,1.5291904399002574
2007-01-01,1.4924950448099712
2008-01-01,1.4215775720653832
2009-01-01,0.9890388703584927
2010-01-01,1.5071469558334036
2011-01-01,1.7881861791944347
2012-01-01,1.8210349126489345
2013-01-01,1.9669493187490765
2014-01-01,2.1354461397416293
2015-01-01,2.1245780782802948
2016-01-01,2.0428748314870133
2017-01-01,2.095886525043667
2018-01-01,2.0686837082663097
2019-01-01,2.096126728655394
2020-01-01,1.7176342361114376
2021-01-01,2.5693369093364318
2022-01-01,2.4271505756287888
2023-02-10,1.7380504040699116
