date,value
2013-04-01,1.9301557903655855
2013-07-01,1.9571619574254817
2013-10-01,2.0622714623524665
2014-01-01,2.1354461397416293
2014-04-01,2.160438106608625
2014-07-01,2.1082705971133753
2014-10-01,2.1600766714330812
2015-01-01,2.1245780782802948
2015-04-01,2.066856616004832
2015-07-01,1.8919512051514589
2015-10-01,1.9917102668666051
2016-01-01,2.0428748314870133
2016-04-01,2.0058818317465374
2016-07-01,1.9946680297317514
2016-10-01,1.9951354572534488
2017-01-01,2.095886525043667
2017-04-01,2.0410955882801964
2017-07-01,2.0570985619384916
2017-10-01,2.1163013937086834
2018-01-01,2.0686837082663097
2018-04-01,2.118208293500778
2018-07-01,2.223255923312926
2018-10-01,1.8899694153605562
2019-01-01,2.096126728655394
2019-04-01,2.0489471972438036
2019-07-01,2.0335764237556044
2019-10-01,2.153125880193072
2020-01-01,1.7176342361114376
2020-04-01,2.1143112124214807
2020-07-01,2.2516301711152553
2020-10-01,2.4899003885453515
2021-01-01,2.5693369093364318
2021-04-01,2.6601305531516446
2021-07-01,2.52141070775476
2021-10-01,2.5672313848111097
2022-01-01,2.4271505756287888
2022-04-01,1.9974986204701368
2022-07-01,1.8838801924193318
2022-08-01,2.002570175937411
2022-09-01,1.8712043589293579
2022-11-01,1.7436149268981191
2022-12-01,1.8063952165409598
2023-02-01,1.7610966174458058
2023-02-10,1.7380504040699116
