Table B.103 Balance Sheet of Nonfinancial Corporate Business from Z.1 Federal Accounts of the United States,,,,,,,,,,,,,,
,,Date conversions,,,Line 40/(Line 44/100) - net worth (Millions of dollars),Line 42 - corporate equities (Millions of dollars),,,MS index (Q) scaled by running geometric mean,,Expected Q,,,Federal funds rate
date,,Month,Day,Date,FL102090005.Q,LM103164103.Q,MS Index (Q),ln(Q),exp[ln(Q) - Avg(ln(Q))],MSI/GEOMEAN,,,Date,
,Q3,9,30,9/30/05,35130.8360157331,37912.762200956,1.07918758847575,0.0762085251741769,1.570499970132,1.570499970132,1,,1956-05-01,2.75
,Q4,12,31,12/31/05,35676.3884310889,39186.1052434583,1.09837646036253,0.0938331443994184,1.59842479344063,1.59842479344063,1,,1956-06-01,2.71
1906,Q1,3,31,3/31/06,36535.8335819735,38147.9295458151,1.04412369462502,0.0431779638836655,1.51947284117561,1.51947284117561,1,,1956-07-01,2.75
,Q2,6,30,6/30/06,37395.278732858,37110.4335539833,0.992382857180727,-0.00764630141614172,1.44417640103064,1.44417640103064,1,,1956-08-01,2.73
,Q3,9,30,9/30/06,38254.7238837426,40023.403069511,1.04623426877014,0.0451973068854647,1.52254427812251,1.52254427812251,1,,1956-09-01,2.95
,Q4,12,31,12/31/06,39114.1690346271,39265.2329216339,1.00386212696665,0.00385468810137307,1.46088173849786,1.46088173849786,1,,1956-10-01,2.96
1907,Q1,3,31,3/31/07,39782.7785048788,33456.2800202901,0.840973940927408,-0.173194605306848,1.22383685951552,1.22383685951552,1,,1956-11-01,2.88
,Q2,6,30,6/30/07,40451.3879751304,31412.842557973,0.776557842150823,-0.252884148310235,1.13009460164955,1.13009460164955,1,,1956-12-01,2.94
,Q3,9,30,9/30/07,41119.9974453821,29850.2139103187,0.72592937171184,-0.320302553033221,1.05641694619712,1.05641694619712,1,,1957-01-01,2.84
,Q4,12,31,12/31/07,41788.6069156337,26324.2826027911,0.629939223768257,-0.462131934459225,0.916726195406252,0.916726195406253,1,,1957-02-01,3.00
1908,Q1,3,31,3/31/08,41750.9454336779,28363.7036307915,0.679354762776516,-0.386611809551783,0.988638718646202,0.988638718646202,1,,1957-03-01,2.96
,Q2,6,30,6/30/08,41713.283951722,31542.7504715061,0.756179985925178,-0.27947585451774,1.10043949540529,1.10043949540529,1,,1957-04-01,3.00
