date,value
2018-04-01,2.118208293500778
2018-07-01,2.223255923312926
2018-10-01,1.8899694153605562
2019-01-01,2.096126728655394
2019-04-01,2.0489471972438036
2019-07-01,2.0335764237556044
2019-10-01,2.153125880193072
2020-01-01,1.7176342361114376
2020-04-01,2.1143112124214807
2020-07-01,2.2516301711152553
2020-10-01,2.4899003885453515
2021-01-01,2.5693369093364318
2021-04-01,2.6601305531516446
2021-07-01,2.52141070775476
2021-10-01,2.5672313848111097
2022-01-01,2.4271505756287888
2022-04-01,1.9974986204701368
2022-07-01,1.8838801924193318
2022-08-01,2.002570175937411
2022-09-01,1.8712043589293579
2022-11-01,1.7436149268981191
2022-12-01,1.8063952165409598
2023-02-01,1.7610966174458058
2023-02-10,1.7380504040699116
